sample_idx,csg,csl,d_adv_T,d_adv
396,307.10077,59.860146,0.3566071521998663,2.469302041076434e-05
397,276.23492,34.81826,0.31170165492846424,0.007082276910850755
398,252.80893,41.307163,0.28737206617928956,1.1277602845026474e-05
399,313.04633,61.84211,0.36434970541186124,0.00031482884932318406
400,111.61668,12.497173,0.1228532168224351,0.008181846817502723
401,428.6993,104.063194,0.5247424850176249,6.440383421160455e-05
402,260.1659,120.33601,0.3249238613683946,0.004613004470539836
403,433.78543,48.765873,0.49730742068812933,0.003741820229692514
404,101.862076,39.36814,0.11553364632225309,0.00010780152638299824
405,339.62192,66.02831,0.3972159577259619,0.0010720488082702944
406,14.088972,5.857012,0.015394805267824392,1.308171171944335e-06
407,475.54285,106.05354,0.5835021207474288,1.7087598805607568e-08
408,0.95355076,2.1238782,0.0010376974796522842,5.016952216752721e-10
409,257.15988,34.746277,0.2901539354354061,6.256739826834831e-05
410,251.00584,54.877106,0.2897925710594477,0.0003238746414042634
411,38.941,11.530067,0.042815648075279426,5.742824299451852e-07
412,250.79622,39.28555,0.28443056299538805,0.007259836331568291
413,1095.9623,237.17679,1.6026185027456183,0.008701229787848168
414,13.984166,8.034722,0.01531673235407549,4.6155950906651314e-05
415,0.7285024,0.5059713,0.0007913961776576658,1.2305255426609535e-07
416,1.9519756,3.4968858,0.0021274076815361296,1.7002671642839622e-08
417,96.82211,34.086437,0.10916328432483113,5.259771108481676e-06
418,568.6166,97.104164,0.690127395219011,0.005962660030410116
419,768.33826,229.83653,1.11160450047354,0.007337716365778461
420,131.17038,41.858036,0.14919695199368216,0.005848422984893531
421,62.36269,16.835587,0.06897013584467034,7.74552764336014e-06
422,187.60593,33.731148,0.2114339181670642,0.009780780734023843
423,385.90735,42.453716,0.43923969094649634,0.01699152999659626
424,114.17789,24.47651,0.1273514341062983,0.00441041056017416
425,4.2635603,10.479615,0.004682378331435126,3.146077600073956e-05
426,595.89923,82.50489,0.7106482025840839,0.062237371459625636
427,181.24153,37.573723,0.2051496014323148,7.260219580494184e-06
428,835.3993,108.16439,1.0277161848161125,0.005345180832885417
429,44.10727,23.868319,0.04916290086733107,0.00013209217212687457
430,482.3459,66.914986,0.5647291034659914,2.946094778614776e-07
431,9.770939,3.420289,0.010648204533655137,7.220205181446712e-08
432,115.90247,27.245668,0.12967552218984044,0.0009564135112338902
433,400.70618,134.23906,0.5092891898007809,0.00013658439100247473
434,338.59598,92.28606,0.4085632613009254,0.0737174851231072
435,673.0287,56.229115,0.7782433574135146,0.01097496377692331
436,658.30383,79.8127,0.782557220814194,0.009358340368698818
437,410.3534,54.20719,0.47339719065631436,0.0004478202838941906
438,893.3662,167.60626,1.18573570100661,0.0008236339730315766
439,55.891777,23.321692,0.06226022991350453,0.00021557491299878742
440,590.77454,93.187805,0.7136283445891378,0.007463056223141346
441,292.34174,57.320755,0.338470811861696,0.0014403616261772791
442,8.38698,7.4205337,0.009180008859601229,1.1918329229331668e-06
443,231.34329,33.791668,0.2607441892446798,0.0009201553047606536
444,678.75116,81.24022,0.8082354800108379,0.00777490150346701
